rixo_company,auction_name,stock_location,venue_id,pol,supported_vehicle_type,rixo_price
LOGICO,ARAI OYAMA (TSUKUBA),AQUA LOGISTICS,22431,YOKOHAMA,,22200
LOGICO,ARAI OYAMA (TSUKUBA),GLOBAL NAGOYA,22431,NAGOYA,,31400
LOGICO,ARAI OYAMA (TSUKUBA),KLC,22431,SENBOKU (OSAKA),,35000
LOGICO,ARAI OYAMA (TSUKUBA),KOBE,22431,KOBE,,36200
LOGICO,ARAI OYAMA (TSUKUBA),GLOBAL HAKATA,22431,HAKATA,,54600
KLC,ARAI OYAMA (TSUKUBA),KLC,22431,SENBOKU (OSAKA),,31000
KLC,ARAI OYAMA (TSUKUBA),KOBE,22431,KOBE,,31000
KLC,ARAI OYAMA (TSUKUBA),FUJITRANS KINJO,22431,NAGOYA,,35000
KLC,ARAI OYAMA (TSUKUBA),GLOBAL NAGOYA,22431,NAGOYA,,35000
KLC,ARAI OYAMA (TSUKUBA),GLOBAL KAWASAKI,22431,YOKOHAMA,,15000
KLC,ARAI OYAMA (TSUKUBA),AQUA LOGISTICS,22431,YOKOHAMA,,21000
LOGICO,ARAI OYAMA VAN TRUCK,GLOBAL KAWASAKI,22431,YOKOHAMA,,13200
LOGICO,ARAI OYAMA VAN TRUCK,AQUA LOGISTICS,22431,YOKOHAMA,,19200
LOGICO,ARAI OYAMA VAN TRUCK,GLOBAL NAGOYA,22431,NAGOYA,,29000
LOGICO,ARAI OYAMA VAN TRUCK,KLC,22431,SENBOKU (OSAKA),,34000
LOGICO,ARAI OYAMA VAN TRUCK,KOBE,22431,KOBE,,35200
LOGICO,ARAI OYAMA VAN TRUCK,GLOBAL HAKATA,22431,HAKATA,,54600
LOGICO,ARAI SENDAI,GLOBAL KAWASAKI,22431,YOKOHAMA,,19800
LOGICO,ARAI SENDAI,AQUA LOGISTICS,22431,YOKOHAMA,,26400
LOGICO,ARAI SENDAI,GLOBAL NAGOYA,22431,NAGOYA,,34000
LOGICO,ARAI SENDAI,KLC,22431,SENBOKU (OSAKA),,39000
LOGICO,ARAI SENDAI,KOBE,22431,KOBE,,40800
LOGICO,ARAI SENDAI,GLOBAL HAKATA,22431,HAKATA,,62900
KLC,ARAI SENDAI,KLC,22431,SENBOKU (OSAKA),,33000
KLC,ARAI SENDAI,KOBE,22431,KOBE,,33000
KLC,ARAI SENDAI,FUJITRANS KINJO,22431,NAGOYA,,28000
KLC,ARAI SENDAI,GLOBAL NAGOYA,22431,NAGOYA,,28000
KLC,ARAI SENDAI,GLOBAL KAWASAKI,22431,YOKOHAMA,,21000
KLC,ARAI SENDAI,AQUA LOGISTICS,22431,YOKOHAMA,,23000
LOGICO,ARAI TOMAKOMAI,GLOBAL KAWASAKI,22431,YOKOHAMA,,36400
LOGICO,ARAI TOMAKOMAI,AQUA LOGISTICS,22431,YOKOHAMA,,41800
LOGICO,ARAI TOMAKOMAI,GLOBAL NAGOYA,22431,NAGOYA,,41400
LOGICO,ARAI TOMAKOMAI,KLC,22431,SENBOKU (OSAKA),,44500
LOGICO,ARAI TOMAKOMAI,KOBE,22431,KOBE,,46300
LOGICO,ARAI TOMAKOMAI,GLOBAL HAKATA,22431,HAKATA,,82800
LOGICO,BAYAUC,GLOBAL KAWASAKI,24016,YOKOHAMA,,33000
LOGICO,BAYAUC,AQUA LOGISTICS,24016,YOKOHAMA,,33000
LOGICO,BAYAUC,GLOBAL NAGOYA,24016,NAGOYA,,11600
LOGICO,BAYAUC,KLC,24016,SENBOKU (OSAKA),,5500
LOGICO,BAYAUC,KOBE,24016,KOBE,,6500
LOGICO,BAYAUC,GLOBAL HAKATA,24016,HAKATA,,33000
STYLISH,BAYAUC,GLOBAL NAGOYA,24016,NAGOYA,,13000
STYLISH,BAYAUC,KLC,24016,SENBOKU (OSAKA),,6000
STYLISH,BAYAUC,KOBE,24016,KOBE,,6000
KLC,BAYAUC,KLC,24016,SENBOKU (OSAKA),,6000
KLC,BAYAUC,KOBE,24016,KOBE,,6000
KLC,BAYAUC,FUJITRANS KINJO,24016,NAGOYA,,11000
KLC,BAYAUC,GLOBAL NAGOYA,24016,NAGOYA,,11000
KLC,BAYAUC,GLOBAL KAWASAKI,24016,YOKOHAMA,,29000
KLC,BAYAUC,AQUA LOGISTICS,24016,YOKOHAMA,,30000
KLC,BAYAUC,GLOBAL HAKATA,24016,HAKATA,,26000
LOGICO,CAA CHUBU,GLOBAL KAWASAKI,T008288,YOKOHAMA,,24000
LOGICO,CAA CHUBU,AQUA LOGISTICS,T008288,YOKOHAMA,,32000
LOGICO,CAA CHUBU,GLOBAL NAGOYA,T008288,NAGOYA,,7000
LOGICO,CAA CHUBU,KLC,T008288,SENBOKU (OSAKA),,11600
LOGICO,CAA CHUBU,KOBE,T008288,KOBE,,11600
LOGICO,CAA CHUBU,GLOBAL HAKATA,T008288,HAKATA,,37800
STYLISH,CAA CHUBU,GLOBAL NAGOYA,T008288,NAGOYA,,7000
STYLISH,CAA CHUBU,KLC,T008288,SENBOKU (OSAKA),,13000
STYLISH,CAA CHUBU,KOBE,T008288,KOBE,,13000
KLC,CAA CHUBU,KLC,T008288,SENBOKU (OSAKA),,11000
KLC,CAA CHUBU,KOBE,T008288,KOBE,,11000
KLC,CAA CHUBU,FUJITRANS KINJO,T008288,NAGOYA,,7500
KLC,CAA CHUBU,GLOBAL NAGOYA,T008288,NAGOYA,,7500
KLC,CAA CHUBU,GLOBAL KAWASAKI,T008288,YOKOHAMA,,25000
KLC,CAA CHUBU,AQUA LOGISTICS,T008288,YOKOHAMA,,27000
KLC,CAA CHUBU,GLOBAL HAKATA,T008288,HAKATA,,32000
LOGICO,CAA GIFU,GLOBAL KAWASAKI,T008288,YOKOHAMA,,24000
LOGICO,CAA GIFU,AQUA LOGISTICS,T008288,YOKOHAMA,,34000
LOGICO,CAA GIFU,GLOBAL NAGOYA,T008288,NAGOYA,,8500
LOGICO,CAA GIFU,KLC,T008288,SENBOKU (OSAKA),,12800
LOGICO,CAA GIFU,KOBE,T008288,KOBE,,12800
LOGICO,CAA GIFU,GLOBAL HAKATA,T008288,HAKATA,,40800
STYLISH,CAA GIFU,GLOBAL NAGOYA,T008288,NAGOYA,,8000
STYLISH,CAA GIFU,KLC,T008288,SENBOKU (OSAKA),,13000
STYLISH,CAA GIFU,KOBE,T008288,KOBE,,13000
KLC,CAA GIFU,KLC,T008288,SENBOKU (OSAKA),,11000
KLC,CAA GIFU,KOBE,T008288,KOBE,,11000
KLC,CAA GIFU,FUJITRANS KINJO,T008288,NAGOYA,,7500
KLC,CAA GIFU,GLOBAL NAGOYA,T008288,NAGOYA,,7500
KLC,CAA GIFU,GLOBAL KAWASAKI,T008288,YOKOHAMA,,25000
KLC,CAA GIFU,AQUA LOGISTICS,T008288,YOKOHAMA,,28000
KLC,CAA GIFU,GLOBAL HAKATA,T008288,HAKATA,,32000
LOGICO,CAA TOHOKU,GLOBAL KAWASAKI,T008288,YOKOHAMA,,37000
LOGICO,CAA TOHOKU,AQUA LOGISTICS,T008288,YOKOHAMA,,39800
LOGICO,CAA TOHOKU,GLOBAL NAGOYA,T008288,NAGOYA,,43000
LOGICO,CAA TOHOKU,KLC,T008288,SENBOKU (OSAKA),,49000
LOGICO,CAA TOHOKU,KOBE,T008288,KOBE,,50800
LOGICO,CAA TOHOKU,GLOBAL HAKATA,T008288,HAKATA,,71900
KLC,CAA TOHOKU,KLC,T008288,SENBOKU (OSAKA),,34000
KLC,CAA TOHOKU,KOBE,T008288,KOBE,,34000
KLC,CAA TOHOKU,FUJITRANS KINJO,T008288,NAGOYA,,32000
KLC,CAA TOHOKU,GLOBAL NAGOYA,T008288,NAGOYA,,32000
KLC,CAA TOHOKU,GLOBAL KAWASAKI,T008288,YOKOHAMA,,29000
KLC,CAA TOHOKU,AQUA LOGISTICS,T008288,YOKOHAMA,,33000
LOGICO,CAA TOKYO,GLOBAL KAWASAKI,T008288,YOKOHAMA,,8600
LOGICO,CAA TOKYO,AQUA LOGISTICS,T008288,YOKOHAMA,,10800
LOGICO,CAA TOKYO,GLOBAL NAGOYA,T008288,NAGOYA,,23000
LOGICO,CAA TOKYO,KLC,T008288,SENBOKU (OSAKA),,32000
LOGICO,CAA TOKYO,KOBE,T008288,KOBE,,33200
LOGICO,CAA TOKYO,GLOBAL HAKATA,T008288,HAKATA,,49800
KLC,CAA TOKYO,KLC,T008288,SENBOKU (OSAKA),,29000
KLC,CAA TOKYO,KOBE,T008288,KOBE,,30000
KLC,CAA TOKYO,FUJITRANS KINJO,T008288,NAGOYA,,27000
KLC,CAA TOKYO,GLOBAL NAGOYA,T008288,NAGOYA,,27000
KLC,CAA TOKYO,GLOBAL KAWASAKI,T008288,YOKOHAMA,,9500
KLC,CAA TOKYO,AQUA LOGISTICS,T008288,YOKOHAMA,,12000
YAMAZAKI,CAA TOKYO,GLOBAL KAWASAKI,T008288,YOKOHAMA,,6000
LOGICO,HAA KOBE,GLOBAL KAWASAKI,E0483,YOKOHAMA,,33000
LOGICO,HAA KOBE,AQUA LOGISTICS,E0483,YOKOHAMA,,33000
LOGICO,HAA KOBE,GLOBAL NAGOYA,E0483,NAGOYA,,11600
LOGICO,HAA KOBE,KLC,E0483,SENBOKU (OSAKA),,6500
LOGICO,HAA KOBE,KOBE,E0483,KOBE,,5500
LOGICO,HAA KOBE,GLOBAL HAKATA,E0483,HAKATA,,33000
STYLISH,HAA KOBE,GLOBAL NAGOYA,E0483,NAGOYA,,13000
STYLISH,HAA KOBE,KLC,E0483,SENBOKU (OSAKA),,6500
STYLISH,HAA KOBE,KOBE,E0483,KOBE,,4000
KLC,HAA KOBE,KLC,E0483,SENBOKU (OSAKA),,6000
KLC,HAA KOBE,KOBE,E0483,KOBE,,4500
KLC,HAA KOBE,FUJITRANS KINJO,E0483,NAGOYA,,11000
KLC,HAA KOBE,GLOBAL NAGOYA,E0483,NAGOYA,,11000
KLC,HAA KOBE,GLOBAL KAWASAKI,E0483,YOKOHAMA,,29000
KLC,HAA KOBE,AQUA LOGISTICS,E0483,YOKOHAMA,,30000
KLC,HAA KOBE,GLOBAL HAKATA,E0483,HAKATA,,26000
LOGICO,HAA KOBE (USS SHIKOKU),GLOBAL KAWASAKI,E0483,YOKOHAMA,,47000
LOGICO,HAA KOBE (USS SHIKOKU),AQUA LOGISTICS,E0483,YOKOHAMA,,50600
LOGICO,HAA KOBE (USS SHIKOKU),GLOBAL NAGOYA,E0483,NAGOYA,,31800
LOGICO,HAA KOBE (USS SHIKOKU),KLC,E0483,SENBOKU (OSAKA),,22000
LOGICO,HAA KOBE (USS SHIKOKU),KOBE,E0483,KOBE,,20900
LOGICO,HAA KOBE (USS SHIKOKU),GLOBAL HAKATA,E0483,HAKATA,,44400
STYLISH,HAA KOBE (USS SHIKOKU),GLOBAL NAGOYA,E0483,NAGOYA,,35000
STYLISH,HAA KOBE (USS SHIKOKU),KLC,E0483,SENBOKU (OSAKA),,25000
STYLISH,HAA KOBE (USS SHIKOKU),KOBE,E0483,KOBE,,25000
KLC,HAA KOBE (USS SHIKOKU),KLC,E0483,SENBOKU (OSAKA),,24000
KLC,HAA KOBE (USS SHIKOKU),KOBE,E0483,KOBE,,24000
KLC,HAA KOBE (USS SHIKOKU),FUJITRANS KINJO,E0483,NAGOYA,,29000
KLC,HAA KOBE (USS SHIKOKU),GLOBAL NAGOYA,E0483,NAGOYA,,29000
KLC,HAA KOBE (USS SHIKOKU),GLOBAL KAWASAKI,E0483,YOKOHAMA,,41000
KLC,HAA KOBE (USS SHIKOKU),AQUA LOGISTICS,E0483,YOKOHAMA,,42000
KLC,HAA KOBE (USS SHIKOKU),GLOBAL HAKATA,E0483,HAKATA,,38000
LOGICO,HERO,GLOBAL KAWASAKI,30617,YOKOHAMA,,10800
LOGICO,HERO,AQUA LOGISTICS,30617,YOKOHAMA,,19600
LOGICO,HERO,GLOBAL NAGOYA,30617,NAGOYA,,27000
LOGICO,HERO,KLC,30617,SENBOKU (OSAKA),,34000
LOGICO,HERO,KOBE,30617,KOBE,,35200
LOGICO,HERO,GLOBAL HAKATA,30617,HAKATA,,52200
KLC,HERO,KLC,30617,SENBOKU (OSAKA),,29000
KLC,HERO,KOBE,30617,KOBE,,29000
KLC,HERO,FUJITRANS KINJO,30617,NAGOYA,,29000
KLC,HERO,GLOBAL NAGOYA,30617,NAGOYA,,29000
KLC,HERO,GLOBAL KAWASAKI,30617,YOKOHAMA,,13000
KLC,HERO,AQUA LOGISTICS,30617,YOKOHAMA,,19500
LOGICO,HONDA HOKKAIDO,GLOBAL KAWASAKI,1355400,YOKOHAMA,,36400
LOGICO,HONDA HOKKAIDO,AQUA LOGISTICS,1355400,YOKOHAMA,,41800
LOGICO,HONDA HOKKAIDO,GLOBAL NAGOYA,1355400,NAGOYA,,41400
LOGICO,HONDA HOKKAIDO,KLC,1355400,SENBOKU (OSAKA),,44500
LOGICO,HONDA HOKKAIDO,KOBE,1355400,KOBE,,46300
LOGICO,HONDA HOKKAIDO,GLOBAL HAKATA,1355400,HAKATA,,82800
KLC,HONDA HOKKAIDO,KLC,1355400,SENBOKU (OSAKA),,38000
KLC,HONDA HOKKAIDO,KOBE,1355400,KOBE,,38000
KLC,HONDA HOKKAIDO,FUJITRANS KINJO,1355400,NAGOYA,,29000
KLC,HONDA HOKKAIDO,GLOBAL NAGOYA,1355400,NAGOYA,,29000
KLC,HONDA HOKKAIDO,GLOBAL KAWASAKI,1355400,YOKOHAMA,,30000
KLC,HONDA HOKKAIDO,AQUA LOGISTICS,1355400,YOKOHAMA,,35000
LOGICO,HONDA KANSAI,GLOBAL KAWASAKI,1355400,YOKOHAMA,,33000
LOGICO,HONDA KANSAI,AQUA LOGISTICS,1355400,YOKOHAMA,,33000
LOGICO,HONDA KANSAI,GLOBAL NAGOYA,1355400,NAGOYA,,11600
LOGICO,HONDA KANSAI,KLC,1355400,SENBOKU (OSAKA),,6500
LOGICO,HONDA KANSAI,KOBE,1355400,KOBE,,5500
LOGICO,HONDA KANSAI,GLOBAL HAKATA,1355400,HAKATA,,33000
STYLISH,HONDA KANSAI,GLOBAL NAGOYA,1355400,NAGOYA,,13000
STYLISH,HONDA KANSAI,KLC,1355400,SENBOKU (OSAKA),,6500
STYLISH,HONDA KANSAI,KOBE,1355400,KOBE,,4000
KLC,HONDA KANSAI,KLC,1355400,SENBOKU (OSAKA),,6000
KLC,HONDA KANSAI,KOBE,1355400,KOBE,,4500
KLC,HONDA KANSAI,FUJITRANS KINJO,1355400,NAGOYA,,11000
KLC,HONDA KANSAI,GLOBAL NAGOYA,1355400,NAGOYA,,11000
KLC,HONDA KANSAI,GLOBAL KAWASAKI,1355400,YOKOHAMA,,29000
KLC,HONDA KANSAI,AQUA LOGISTICS,1355400,YOKOHAMA,,30000
KLC,HONDA KANSAI,GLOBAL HAKATA,1355400,HAKATA,,26000
LOGICO,HONDA KYUSHU,GLOBAL KAWASAKI,1355400,YOKOHAMA,,54000
LOGICO,HONDA KYUSHU,AQUA LOGISTICS,1355400,YOKOHAMA,,54500
LOGICO,HONDA KYUSHU,GLOBAL NAGOYA,1355400,NAGOYA,,42000
LOGICO,HONDA KYUSHU,KLC,1355400,SENBOKU (OSAKA),,36600
LOGICO,HONDA KYUSHU,KOBE,1355400,KOBE,,36600
LOGICO,HONDA KYUSHU,GLOBAL HAKATA,1355400,HAKATA,,10900
KLC,HONDA KYUSHU,KLC,1355400,SENBOKU (OSAKA),,28000
KLC,HONDA KYUSHU,KOBE,1355400,KOBE,,28000
KLC,HONDA KYUSHU,FUJITRANS KINJO,1355400,NAGOYA,,36000
KLC,HONDA KYUSHU,GLOBAL NAGOYA,1355400,NAGOYA,,36000
KLC,HONDA KYUSHU,GLOBAL KAWASAKI,1355400,YOKOHAMA,,44000
KLC,HONDA KYUSHU,AQUA LOGISTICS,1355400,YOKOHAMA,,46000
KLC,HONDA KYUSHU,GLOBAL HAKATA,1355400,HAKATA,,9500
Y'S,HONDA KYUSHU,GLOBAL HAKATA,1355400,HAKATA,,6820
Y'S,HONDA KYUSHU (HIGHROOF),GLOBAL HAKATA,1355400,HAKATA,,10120
LOGICO,HONDA NAGOYA,GLOBAL KAWASAKI,1355400,YOKOHAMA,,24000
LOGICO,HONDA NAGOYA,AQUA LOGISTICS,1355400,YOKOHAMA,,31000
LOGICO,HONDA NAGOYA,GLOBAL NAGOYA,1355400,NAGOYA,,6000
LOGICO,HONDA NAGOYA,KLC,1355400,SENBOKU (OSAKA),,11600
LOGICO,HONDA NAGOYA,KOBE,1355400,KOBE,,11600
LOGICO,HONDA NAGOYA,GLOBAL HAKATA,1355400,HAKATA,,36000
STYLISH,HONDA NAGOYA,GLOBAL NAGOYA,1355400,NAGOYA,,6000
STYLISH,HONDA NAGOYA,KLC,1355400,SENBOKU (OSAKA),,13000
STYLISH,HONDA NAGOYA,KOBE,1355400,KOBE,,13000
KLC,HONDA NAGOYA,KLC,1355400,SENBOKU (OSAKA),,11000
KLC,HONDA NAGOYA,KOBE,1355400,KOBE,,11000
KLC,HONDA NAGOYA,FUJITRANS KINJO,1355400,NAGOYA,,5500
KLC,HONDA NAGOYA,GLOBAL NAGOYA,1355400,NAGOYA,,6000
KLC,HONDA NAGOYA,GLOBAL KAWASAKI,1355400,YOKOHAMA,,25000
KLC,HONDA NAGOYA,AQUA LOGISTICS,1355400,YOKOHAMA,,27000
KLC,HONDA NAGOYA,GLOBAL HAKATA,1355400,HAKATA,,32000
LOGICO,HONDA SENDAI,GLOBAL KAWASAKI,1355400,YOKOHAMA,,19800
LOGICO,HONDA SENDAI,AQUA LOGISTICS,1355400,YOKOHAMA,,26400
LOGICO,HONDA SENDAI,GLOBAL NAGOYA,1355400,NAGOYA,,34000
LOGICO,HONDA SENDAI,KLC,1355400,SENBOKU (OSAKA),,39000
LOGICO,HONDA SENDAI,KOBE,1355400,KOBE,,40800
LOGICO,HONDA SENDAI,GLOBAL HAKATA,1355400,HAKATA,,62900
KLC,HONDA SENDAI,KLC,1355400,SENBOKU (OSAKA),,33000
KLC,HONDA SENDAI,KOBE,1355400,KOBE,,33000
KLC,HONDA SENDAI,FUJITRANS KINJO,1355400,NAGOYA,,28000
KLC,HONDA SENDAI,GLOBAL NAGOYA,1355400,NAGOYA,,28000
KLC,HONDA SENDAI,GLOBAL KAWASAKI,1355400,YOKOHAMA,,21000
KLC,HONDA SENDAI,AQUA LOGISTICS,1355400,YOKOHAMA,,23000
LOGICO,HONDA TOKYO,GLOBAL KAWASAKI,1355400,YOKOHAMA,,8600
LOGICO,HONDA TOKYO,AQUA LOGISTICS,1355400,YOKOHAMA,,19600
LOGICO,HONDA TOKYO,GLOBAL NAGOYA,1355400,NAGOYA,,24000
LOGICO,HONDA TOKYO,KLC,1355400,SENBOKU (OSAKA),,33000
LOGICO,HONDA TOKYO,KOBE,1355400,KOBE,,34200
LOGICO,HONDA TOKYO,GLOBAL HAKATA,1355400,HAKATA,,51000
KLC,HONDA TOKYO,KLC,1355400,SENBOKU (OSAKA),,29000
KLC,HONDA TOKYO,KOBE,1355400,KOBE,,29000
KLC,HONDA TOKYO,FUJITRANS KINJO,1355400,NAGOYA,,27000
KLC,HONDA TOKYO,GLOBAL NAGOYA,1355400,NAGOYA,,27000
KLC,HONDA TOKYO,GLOBAL KAWASAKI,1355400,YOKOHAMA,,10500
KLC,HONDA TOKYO,AQUA LOGISTICS,1355400,YOKOHAMA,,17500
YAMAZAKI,HONDA TOKYO,GLOBAL KAWASAKI,1355400,YOKOHAMA,,8000
LOGICO,HONDA TOKYO (GOTEMBA),GLOBAL KAWASAKI,1355400,YOKOHAMA,,23800
LOGICO,HONDA TOKYO (GOTEMBA),AQUA LOGISTICS,1355400,YOKOHAMA,,35200
LOGICO,HONDA TOKYO (GOTEMBA),GLOBAL NAGOYA,1355400,NAGOYA,,20000
LOGICO,HONDA TOKYO (GOTEMBA),KLC,1355400,SENBOKU (OSAKA),,33800
LOGICO,HONDA TOKYO (GOTEMBA),KOBE,1355400,KOBE,,33800
LOGICO,HONDA TOKYO (GOTEMBA),GLOBAL HAKATA,1355400,HAKATA,,54000
KLC,HONDA TOKYO (GOTEMBA),KLC,1355400,SENBOKU (OSAKA),,32000
KLC,HONDA TOKYO (GOTEMBA),KOBE,1355400,KOBE,,32000
KLC,HONDA TOKYO (GOTEMBA),FUJITRANS KINJO,1355400,NAGOYA,,24500
KLC,HONDA TOKYO (GOTEMBA),GLOBAL NAGOYA,1355400,NAGOYA,,24500
KLC,HONDA TOKYO (GOTEMBA),GLOBAL KAWASAKI,1355400,YOKOHAMA,,23000
KLC,HONDA TOKYO (GOTEMBA),AQUA LOGISTICS,1355400,YOKOHAMA,,29000
LOGICO,HONDA TOKYO (NIIGATA),GLOBAL KAWASAKI,1355400,YOKOHAMA,,22200
LOGICO,HONDA TOKYO (NIIGATA),AQUA LOGISTICS,1355400,YOKOHAMA,,32200
LOGICO,HONDA TOKYO (NIIGATA),GLOBAL NAGOYA,1355400,NAGOYA,,36000
LOGICO,HONDA TOKYO (NIIGATA),KLC,1355400,SENBOKU (OSAKA),,51000
LOGICO,HONDA TOKYO (NIIGATA),KOBE,1355400,KOBE,,51000
LOGICO,HONDA TOKYO (NIIGATA),GLOBAL HAKATA,1355400,HAKATA,,68200
KLC,HONDA TOKYO (NIIGATA),KLC,1355400,SENBOKU (OSAKA),,32000
KLC,HONDA TOKYO (NIIGATA),KOBE,1355400,KOBE,,33000
KLC,HONDA TOKYO (NIIGATA),FUJITRANS KINJO,1355400,NAGOYA,,28000
KLC,HONDA TOKYO (NIIGATA),GLOBAL NAGOYA,1355400,NAGOYA,,28000
KLC,HONDA TOKYO (NIIGATA),GLOBAL KAWASAKI,1355400,YOKOHAMA,,20000
KLC,HONDA TOKYO (NIIGATA),AQUA LOGISTICS,1355400,YOKOHAMA,,26000
LOGICO,HONDA TOKYO (OGAWA),GLOBAL KAWASAKI,1355400,YOKOHAMA,,10800
